Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46,Top47,Top48,Top49,Top50
2020-03-12,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,okb,ada,xlm,trx,leo,xmr,etc,cro,dash,neo,atom,iota,usdc,mkr,xem,zec,ont,bat,vet,doge,usdp,qtum,algo,dcr,lsk,hbar,btg,icx,zrx,waves,rvn,tusd,rep,dai,bcd,theta,hot,xno,ckb
2020-03-13,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,xtz,leo,okb,ada,link,xlm,trx,xmr,usdc,etc,cro,dash,neo,iota,atom,xem,zec,ont,usdp,doge,mkr,bat,vet,tusd,dai,qtum,dcr,algo,lsk,zrx,btg,hbar,icx,waves,rep,rvn,bcd,theta,hot,nexo,xno
2020-03-14,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,xtz,leo,okb,ada,link,xlm,trx,xmr,usdc,etc,cro,dash,neo,iota,atom,xem,mkr,zec,ont,doge,usdp,bat,vet,tusd,dcr,hbar,qtum,lsk,btg,zrx,algo,icx,dai,waves,rep,rvn,bcd,theta,hot,xno,nexo
2020-03-15,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,xtz,okb,leo,ada,link,xlm,trx,xmr,usdc,etc,cro,dash,neo,iota,atom,xem,zec,usdp,mkr,ont,doge,bat,vet,hbar,tusd,dcr,qtum,btg,lsk,algo,dai,zrx,icx,rep,waves,rvn,bcd,theta,hot,nexo,xno
2020-03-16,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,xtz,okb,leo,ada,link,xlm,trx,xmr,usdc,etc,cro,dash,neo,atom,iota,xem,zec,usdp,ont,doge,mkr,bat,vet,hbar,tusd,dcr,lsk,qtum,btg,algo,icx,dai,zrx,waves,rep,rvn,bcd,theta,hot,xno,nexo
2020-03-17,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,okb,xtz,leo,ada,xlm,link,trx,usdc,xmr,etc,cro,dash,neo,atom,iota,xem,zec,usdp,ont,doge,mkr,bat,vet,tusd,hbar,lsk,dcr,btg,qtum,dai,icx,algo,zrx,waves,rep,bcd,rvn,theta,hot,xno,nexo
2020-03-18,btc,eth,xrp,usdt,bch,bsv,ltc,eos,bnb,okb,xtz,leo,ada,xlm,link,trx,xmr,usdc,etc,cro,dash,neo,iota,atom,xem,zec,usdp,ont,doge,mkr,bat,vet,tusd,lsk,hbar,btg,dcr,qtum,icx,algo,dai,zrx,waves,rep,bcd,rvn,theta,hot,nexo,xno
2020-03-19,btc,eth,xrp,usdt,bch,ltc,bsv,eos,bnb,okb,xtz,leo,ada,xlm,link,trx,xmr,usdc,dash,etc,cro,neo,iota,atom,xem,zec,usdp,ont,doge,mkr,bat,vet,lsk,tusd,hbar,btg,dcr,qtum,algo,dai,icx,zrx,rep,waves,steem,bcd,rvn,theta,hot,xno
2020-03-20,btc,eth,xrp,usdt,bch,bsv,ltc,eos,bnb,okb,xtz,leo,ada,xlm,link,trx,xmr,usdc,dash,etc,cro,neo,iota,atom,xem,zec,ont,usdp,mkr,doge,bat,vet,lsk,hbar,tusd,btg,dcr,qtum,icx,algo,steem,zrx,rep,waves,bcd,rvn,dai,enj,nmr,theta
2020-03-21,btc,eth,xrp,usdt,bch,bsv,ltc,eos,bnb,okb,xtz,leo,ada,link,xlm,trx,xmr,dash,usdc,etc,cro,neo,atom,iota,xem,zec,ont,usdp,mkr,doge,bat,vet,lsk,tusd,btg,hbar,dcr,qtum,algo,icx,bcd,zrx,waves,rep,dai,rvn,theta,enj,steem,mco
2020-03-22,btc,eth,xrp,usdt,bch,bsv,ltc,eos,bnb,okb,xtz,leo,ada,link,xlm,trx,xmr,usdc,dash,etc,cro,neo,atom,iota,xem,zec,mkr,ont,usdp,doge,bat,vet,lsk,tusd,btg,hbar,dcr,qtum,icx,algo,zrx,bcd,rep,waves,rvn,dai,theta,steem,enj,mco
